gene_id E15_cpn	E15_corticothal	E15_subcereb	E16_cpn	E16_corticothal	E16_subcereb	E18_cpn	E18_corticothal	E18_subcereb	P1_cpn	P1_corticothal	P1_subcereb	cluster	gene_id	gene_type
0610007C21Rik	36.2885	29.6983	33.4049	39.3774	34.4375	30.0979	42.2177	39.8568	32.0348	59.9407	58.4094	54.1862	8	0610007C21Rik	Protein coding
0610007P08Rik	6.41238	7.04634	7.64108	6.97155	7.23261	6.70851	6.20445	6.60151	4.91168	3.99317	3.80641	3.23802	19	0610007P08Rik	Protein coding
0610007P14Rik	20.8943	13.6725	14.8445	23.5194	16.2461	28.8729	29.6197	21.1791	36.8388	29.3594	22.103	32.7	14	0610007P14Rik	Protein coding
0610009O20Rik	21.4159	19.6082	17.1081	23.9373	23.8992	18.4699	25.4467	30.963	19.1341	24.5086	31.1852	14.2045	15	0610009O20Rik	Protein coding
0610010O12Rik	2.50215	3.83398	3.20653	2.3651	4.27108	3.9649	3.14644	7.41525	6.44143	6.2364	14.0385	9.94148	17	0610010O12Rik	Protein coding
0610011F06Rik	10.5427	5.79396	7.16026	8.85927	6.00592	5.68314	6.93749	6.43569	4.10381	7.0397	5.73237	3.41746	15	0610011F06Rik	Protein coding
0610012G03Rik	14.5217	14.5282	15.7623	15.3591	14.1171	19.5733	17.6928	13.942	21.6458	22.0163	21.6139	30.844	18	0610012G03Rik	Protein coding
0610030E20Rik	9.64353	8.88345	9.17639	9.40998	8.35843	8.06682	8.19497	7.23076	5.951	7.92455	6.7369	4.00079	19	0610030E20Rik	Protein coding
0610040J01Rik	0.0126193	0.00829269	0	0.227051	0.013496	0.105095	0.497327	0.0933045	0.406943	0.996143	0.187428	0.830242	4	0610040J01Rik	Protein coding
0910001L09Rik	21.6771	21.7561	23.5257	22.7965	25.0502	27.3115	27.4637	30.9559	33.045	31.9402	34.4513	38.2762	18	0910001L09Rik	Protein coding
1110001J03Rik	11.9442	8.84853	10.0482	10.2021	8.68196	10.0989	14.9732	12.6699	15.0261	25.834	26.0119	25.9708	18	1110001J03Rik	Protein coding
1110002B05Rik	15.9413	12.5827	12.3269	15.7016	13.1907	13.0598	18.6514	17.5802	18.3475	22.4706	24.7959	25.2821	8	1110002B05Rik	Protein coding
1110003E01Rik	19.5922	17.5862	16.6286	23.7595	21.6019	20.1493	24.4078	24.5218	23.0143	27.6991	29.7756	26.0098	8	1110003E01Rik	Protein coding
1110004F10Rik	73.9733	73.6524	75.0354	75.8263	81.3108	89.675	79.5009	92.3008	84.1862	100.316	120.629	104.741	8	1110004F10Rik	Protein coding
1110007C09Rik	1.72189	5.31165	4.92932	1.2948	4.32144	2.02812	1.56533	3.75764	2.12055	3.11879	4.60573	2.37361	12	1110007C09Rik	Protein coding
1110008P14Rik	23.623	15.1402	17.8989	17.8093	13.7219	25.1172	20.8695	22.1578	38.3855	34.3741	39.4376	61.3656	18	1110008P14Rik	Protein coding
1110012J17Rik	22.9804	29.5402	33.4099	12.6418	33.2176	15.604	12.1795	35.7012	14.0231	13.1944	23.5804	11.9293	12	1110012J17Rik	Protein coding
1110020G09Rik	7.02803	5.71355	6.42769	10.0077	5.16359	4.8273	10.4381	4.80494	5.10297	7.1175	3.51447	4.24571	15	1110020G09Rik	Protein coding
1110028C15Rik	8.06813	7.22133	8.54263	7.87014	7.12303	5.57656	5.81944	5.23681	3.45285	2.62219	2.89599	1.5006	19	1110028C15Rik	Protein coding
1110032F04Rik	0.693218	0.359087	0.364877	1.15992	0.619968	1.40648	1.80219	1.03128	2.75188	2.61364	2.75281	1.79471	17	1110032F04Rik	Protein coding
1110037F02Rik	17.2884	15.2709	16.5341	16.6452	14.5124	13.7317	13.4253	12.1326	11.3056	10.6404	10.743	8.66009	19	1110037F02Rik	Protein coding
1110054O05Rik	15.132	11.2413	11.9819	14.1022	11.3294	12.7414	12.2909	10.7016	9.83287	7.66307	6.07579	5.82778	19	1110054O05Rik	Protein coding
1110058L19Rik	13.2578	16.6413	19.1639	11.3359	14.068	15.2803	10.7345	16.1309	15.4814	13.559	23.2928	25.089	18	1110058L19Rik	Protein coding
1110067D22Rik	13.4342	29.2855	21.6369	16.4512	27.7608	22.7886	20.8585	27.5319	24.0001	21.8512	27.0984	23.9376	12	1110067D22Rik	Protein coding
1190002H23Rik	0.52194	0.936417	0.523802	0.841236	0.487642	0.57599	1.18176	0.288292	0.932417	4.74408	0.497216	1.53369	5	1190002H23Rik	Protein coding
1190002N15Rik	6.11979	1.09307	0.592406	5.28189	0.833249	3.57966	6.15111	0.582957	12.1149	6.31418	0.662584	15.0512	16	1190002N15Rik	Protein coding
1190005F20Rik	10.8353	12.182	11.5961	10.519	11.797	12.173	7.43396	8.48653	8.50402	2.3045	2.85291	2.54898	19	1190005F20Rik	Protein coding
1190005I06Rik	3.61068	10.3002	7.02852	5.24625	9.44242	11.0563	7.0744	9.19494	15.5553	5.12545	7.54922	17.1783	11	1190005I06Rik	Protein coding
1200016B10Rik	4.6504	6.23755	5.66867	3.33711	5.12264	4.10937	4.30328	6.36934	4.94344	1.61294	2.25124	1.68141	19	1200016B10Rik	Protein coding
1300002K09Rik	0.717012	0.17054	0.263634	1.06613	0.174086	0.257767	0.752691	0.262123	0.316804	0.383945	0.283424	0.09082	10	1300002K09Rik	Protein coding
1300010F03Rik	2.94474	2.14218	1.83309	3.21402	2.73933	2.01361	2.93155	3.36755	2.38965	3.80178	3.57963	3.40121	17	1300010F03Rik	Protein coding
1500002O20Rik	18.4415	17.1376	16.4844	19.2093	18.893	18.8101	19.732	22.3946	17.6475	23.9835	30.9068	21.732	8	1500002O20Rik	Protein coding
1500009L16Rik	2.84887	4.96475	3.52805	3.86275	4.46154	4.17594	7.65127	5.41114	7.42023	10.2484	9.29849	9.38963	17	1500009L16Rik	Protein coding
1500011K16Rik	1.78328	1.78375	1.63795	2.63682	2.03761	2.81258	4.29618	3.76577	5.20587	5.85683	5.02346	6.93998	18	1500011K16Rik	Protein coding
1500012F01Rik	70.3716	126.321	95.4262	63.3577	88.7431	55.1301	55.1144	59.5149	37.878	31.3381	24.114	24.1901	19	1500012F01Rik	Protein coding
1500031L02Rik	8.33323	13.1453	11.7796	10.7715	13.247	13.3286	12.2463	14.4145	15.3168	12.17	14.9266	17.6061	18	1500031L02Rik	Protein coding
1500032L24Rik	62.6463	59.7278	65.4893	58.401	58.1904	72.8246	63.4123	64.6739	85.769	91.1225	90.8045	113.509	18	1500032L24Rik	Protein coding
1520402A15Rik	0.573275	0.732629	0.626095	0.983872	1.00718	0.6266	1.15415	1.72195	0.788598	1.85565	3.40485	2.27112	17	1520402A15Rik	Protein coding
1600014C10Rik	2.39882	1.84201	2.1468	2.14886	1.82411	2.30784	2.07636	2.10416	3.41127	1.66191	1.28993	2.58094	19	1600014C10Rik	Protein coding
1600021P15Rik	9.5985	34.7338	29.4147	14.6663	31.4311	41.1158	21.8928	34.4889	58.3537	33.0038	37.6895	61.7954	11	1600021P15Rik	Protein coding
1700001L19Rik	0.0630548	0.429488	0.204432	0.380944	0.592725	0.598648	1.31344	1.87979	2.31297	1.49094	3.32668	3.3664	16	1700001L19Rik	Protein coding
1700001O22Rik	4.1415	1.2365	3.89064	1.82741	0.942102	0.942861	1.28887	1.26611	1.16485	0.90252	1.08621	1.21371	10	1700001O22Rik	Protein coding
1700003E16Rik	0.146021	1.67674	0.75522	0.528811	1.72244	1.93405	1.32294	3.09832	4.21899	2.13652	3.63091	4.84903	16	1700003E16Rik	Protein coding
1700003M02Rik	0.0260826	0.0219398	0.0257765	0.132081	0.190463	0.157908	0.677079	0.552872	1.00568	1.21623	1.04118	1.54322	16	1700003M02Rik	Protein coding
1700007K13Rik	0.0509216	0.0395962	0	0	0.0181633	0.0536575	0.0201269	0.135055	0.07295	0.0997651	0.588628	0.324476	9	1700007K13Rik	Protein coding
1700012A16Rik	0.149468	0.190612	0.244197	0.350935	0.343291	0.536572	0.616543	0.402821	0.835932	0.640853	0.55852	1.31061	16	1700012A16Rik	Protein coding
1700016K19Rik	0	0.0291414	0	0	0.0977362	0.193304	0.137231	0.391386	1.49267	0.186418	1.8714	3.13539	16	1700016K19Rik	Protein coding
1700019D03Rik	0	0.23348	0.317817	0.10285	0.954015	3.26285	0.412689	1.40465	2.90717	0.596295	1.70301	1.83639	16	1700019D03Rik	Protein coding
1700019E19Rik	17.0643	7.20001	10.7148	13.5278	6.24766	10.7632	10.9173	7.8437	9.75499	7.79428	6.47322	5.97812	15	1700019E19Rik	Protein coding
