id,cluster,E15_cpn,E16_cpn,E18_cpn,P1_cpn,E15_subcereb,E16_subcereb,E18_subcereb,P1_subcereb,E15_corticothal,E16_corticothal,E18_corticothal,P1_corticothal,gene_type
0610007C21Rik,8,36.2885,39.3774,42.2177,59.9407,33.4049,30.0979,32.0348,54.1862,29.6983,34.4375,39.8568,58.4094,Protein coding
0610007P08Rik,19,6.41238,6.97155,6.20445,3.99317,7.64108,6.70851,4.91168,3.23802,7.04634,7.23261,6.60151,3.80641,Protein coding
0610007P14Rik,14,20.8943,23.5194,29.6197,29.3594,14.8445,28.8729,36.8388,32.7,13.6725,16.2461,21.1791,22.103,Protein coding
0610009O20Rik,15,21.4159,23.9373,25.4467,24.5086,17.1081,18.4699,19.1341,14.2045,19.6082,23.8992,30.963,31.1852,Protein coding
0610010O12Rik,17,2.50215,2.3651,3.14644,6.2364,3.20653,3.9649,6.44143,9.94148,3.83398,4.27108,7.41525,14.0385,Protein coding
0610011F06Rik,15,10.5427,8.85927,6.93749,7.0397,7.16026,5.68314,4.10381,3.41746,5.79396,6.00592,6.43569,5.73237,Protein coding
0610012G03Rik,18,14.5217,15.3591,17.6928,22.0163,15.7623,19.5733,21.6458,30.844,14.5282,14.1171,13.942,21.6139,Protein coding
0610030E20Rik,19,9.64353,9.40998,8.19497,7.92455,9.17639,8.06682,5.951,4.00079,8.88345,8.35843,7.23076,6.7369,Protein coding
0610040J01Rik,4,0.0126193,0.227051,0.497327,0.996143,0,0.105095,0.406943,0.830242,0.00829269,0.013496,0.0933045,0.187428,Protein coding
0910001L09Rik,18,21.6771,22.7965,27.4637,31.9402,23.5257,27.3115,33.045,38.2762,21.7561,25.0502,30.9559,34.4513,Protein coding
1110001J03Rik,18,11.9442,10.2021,14.9732,25.834,10.0482,10.0989,15.0261,25.9708,8.84853,8.68196,12.6699,26.0119,Protein coding
1110002B05Rik,8,15.9413,15.7016,18.6514,22.4706,12.3269,13.0598,18.3475,25.2821,12.5827,13.1907,17.5802,24.7959,Protein coding
1110003E01Rik,8,19.5922,23.7595,24.4078,27.6991,16.6286,20.1493,23.0143,26.0098,17.5862,21.6019,24.5218,29.7756,Protein coding
1110004F10Rik,8,73.9733,75.8263,79.5009,100.316,75.0354,89.675,84.1862,104.741,73.6524,81.3108,92.3008,120.629,Protein coding
1110007C09Rik,12,1.72189,1.2948,1.56533,3.11879,4.92932,2.02812,2.12055,2.37361,5.31165,4.32144,3.75764,4.60573,Protein coding
1110008P14Rik,18,23.623,17.8093,20.8695,34.3741,17.8989,25.1172,38.3855,61.3656,15.1402,13.7219,22.1578,39.4376,Protein coding
1110012J17Rik,12,22.9804,12.6418,12.1795,13.1944,33.4099,15.604,14.0231,11.9293,29.5402,33.2176,35.7012,23.5804,Protein coding
1110020G09Rik,15,7.02803,10.0077,10.4381,7.1175,6.42769,4.8273,5.10297,4.24571,5.71355,5.16359,4.80494,3.51447,Protein coding
1110028C15Rik,19,8.06813,7.87014,5.81944,2.62219,8.54263,5.57656,3.45285,1.5006,7.22133,7.12303,5.23681,2.89599,Protein coding
1110032F04Rik,17,0.693218,1.15992,1.80219,2.61364,0.364877,1.40648,2.75188,1.79471,0.359087,0.619968,1.03128,2.75281,Protein coding
1110037F02Rik,19,17.2884,16.6452,13.4253,10.6404,16.5341,13.7317,11.3056,8.66009,15.2709,14.5124,12.1326,10.743,Protein coding
1110054O05Rik,19,15.132,14.1022,12.2909,7.66307,11.9819,12.7414,9.83287,5.82778,11.2413,11.3294,10.7016,6.07579,Protein coding
1110058L19Rik,18,13.2578,11.3359,10.7345,13.559,19.1639,15.2803,15.4814,25.089,16.6413,14.068,16.1309,23.2928,Protein coding
1110067D22Rik,12,13.4342,16.4512,20.8585,21.8512,21.6369,22.7886,24.0001,23.9376,29.2855,27.7608,27.5319,27.0984,Protein coding
1190002H23Rik,5,0.52194,0.841236,1.18176,4.74408,0.523802,0.57599,0.932417,1.53369,0.936417,0.487642,0.288292,0.497216,Protein coding
1190002N15Rik,16,6.11979,5.28189,6.15111,6.31418,0.592406,3.57966,12.1149,15.0512,1.09307,0.833249,0.582957,0.662584,Protein coding
