id,cluster,E15 cpn,E16 cpn,E18 cpn,P1 cpn,E15 subcereb,E16 subcereb,E18 subcereb,P1 subcereb,E15 corticothal,E16 corticothal,E18 corticothal,P1 corticothal,gene type
0610007C21Rik,8,1.571574913,1.60613835,1.63566165,1.784907438,1.5366203,1.492731063,1.518971682,1.741830491,1.487114326,1.549463076,1.611264349,1.773855166,Protein
0610007P08Rik,19,0.869957676,0.901542774,0.857600832,0.698376353,0.936568026,0.88697044,0.771710918,0.627163002,0.90559838,0.915537542,0.880899871,0.681820815,Protein
0610007P14Rik,14,1.340331065,1.389509839,1.486000931,1.482293184,1.199878539,1.475277385,1.577937355,1.527629901,1.166504118,1.2366909,1.345943919,1.363668378,Protein
0610009O20Rik,15,1.350556181,1.39684943,1.422371489,1.406686624,1.257872884,1.289363721,1.303932221,1.181972143,1.31404006,1.396185394,1.504647535,1.507656212,Protein
0610010O12Rik,17,0.544334743,0.526997975,0.617675385,0.859522565,0.623923991,0.695910506,0.871656401,1.039076071,0.684304849,0.721899608,0.925067023,1.17720452,Protein
0610011F06Rik,15,1.062307408,0.99384476,0.899683191,0.905239843,0.911703996,0.824980559,0.707894498,0.645172626,0.832122986,0.845465174,0.871321275,0.828167976,Protein
0610012G03Rik,18,1.190939285,1.213759407,1.271674359,1.36203551,1.224333609,1.313303959,1.354987667,1.503027615,1.191121116,1.179468486,1.174408732,1.354375467,Protein
0610030E20Rik,19,1.027085689,1.017449895,0.963550317,0.950586327,1.007593743,0.957454994,0.842047289,0.699038617,0.99490857,0.971202996,0.915439938,0.888566984,Protein
0610040J01Rik,4,0.005446201,0.088862614,0.175316656,0.30019165,0,0.043399614,0.148276503,0.262508517,0.003586619,0.005822039,0.038741136,0.074607286,Protein
0910001L09Rik,18,1.355587515,1.376513086,1.454291353,1.517726232,1.389621412,1.45196288,1.532053339,1.594129463,1.357097834,1.415811062,1.504551053,1.549632165,Protein
1110001J03Rik,18,1.112075215,1.049299445,1.203391929,1.428685415,1.043291527,1.045279938,1.204827848,1.430893829,0.993371412,0.985963284,1.135765338,1.431555133,Protein
1110002B05Rik,8,1.228946733,1.222758078,1.293393496,1.370524192,1.124729139,1.147979143,1.286624855,1.419660063,1.132986109,1.152003819,1.269050384,1.411550685,Protein
1110003E01Rik,8,1.313702748,1.39374187,1.404967062,1.457868278,1.246217824,1.325295998,1.380469932,1.431521368,1.269190606,1.354144949,1.406911301,1.488206529,Protein
1110004F10Rik,8,1.874906627,1.885509918,1.905800736,2.005678035,1.881015835,1.957487564,1.930369246,2.024243413,1.873043774,1.915456823,1.969885368,2.085037136,Protein
1110007C09Rik,12,0.43487057,0.360744841,0.40914324,0.61476965,0.773004889,0.481173082,0.494231146,0.528094875,0.800142908,0.72602917,0.677391577,0.748632176,Protein
1110008P14Rik,18,1.391340965,1.274372633,1.339838854,1.548685399,1.276436527,1.416926615,1.595336363,1.794945105,1.207908912,1.167963863,1.364697299,1.606785372,Protein
1110012J17Rik,12,1.379856423,1.134871678,1.119898934,1.15211704,1.536683411,1.220212725,1.176759558,1.111575013,1.484871877,1.534249545,1.564680264,1.390588946,Protein
1110020G09Rik,15,0.904608987,1.041696585,1.058353889,0.909422297,0.87085377,0.765467377,0.785541235,0.719804278,0.826952228,0.789833742,0.763797735,0.654606771,Protein
1110028C15Rik,19,0.957517738,0.947930474,0.833748713,0.558971227,0.979668085,0.817998787,0.648638066,0.398044227,0.914942081,0.909718057,0.794962514,0.590617833,Protein
1110032F04Rik,17,0.228712877,0.334437666,0.447497579,0.557944885,0.135093515,0.381382257,0.574248939,0.446336749,0.133247258,0.209506436,0.307769792,0.574356577,Protein
1110037F02Rik,19,1.262175712,1.246626585,1.159124854,1.065967904,1.243883479,1.168252866,1.090102794,0.984981173,1.211411576,1.190678995,1.118350716,1.069779061,Protein
1110054O05Rik,19,1.207688213,1.179040217,1.12355439,0.937671824,1.113338259,1.138030982,1.034743531,0.834279519,1.087827541,1.090941943,1.068245248,0.849774935,Protein
1110058L19Rik,18,1.154052518,1.09117084,1.069464589,1.163131546,1.304574535,1.211662403,1.2169941,1.416457433,1.246530585,1.178055612,1.23378018,1.385477575,Protein
1110067D22Rik,12,1.159392719,1.241825296,1.339620356,1.358909011,1.354816952,1.376368884,1.397941746,1.396854655,1.481234748,1.458800962,1.455330693,1.448681591,Protein
1190002H23Rik,5,0.182397531,0.265109458,0.338806975,0.75922048,0.182928539,0.197553457,0.286100849,0.403753477,0.286998887,0.172498431,0.11001431,0.17528446,Protein
1190002N15Rik,16,0.852467184,0.798090327,0.854373459,0.864165644,0.202053805,0.660833237,1.117764983,1.205507506,0.320783753,0.263221457,0.199469118,0.220783597,Protein
1190005F20Rik,19,1.073179271,1.061414778,0.926031537,0.519105756,1.1002361,1.119684692,0.977907342,0.550103552,1.119981307,1.10710817,0.977107384,0.585788864,Protein
1190005I06Rik,11,0.663764981,0.795619362,0.90711026,0.787137999,0.904635494,1.081214046,1.218937055,1.259553266,1.05308613,1.018801157,1.008384674,0.931926493,Protein
1200016B10Rik,19,0.752079193,0.637200437,0.724544557,0.417129437,0.824039227,0.708367354,0.774037883,0.428363225,0.859591577,0.786938724,0.867428594,0.512049029,Protein
1300002K09Rik,10,0.23477333,0.315157644,0.243705357,0.141118831,0.101621303,0.099600196,0.119521137,0.037753092,0.068386259,0.069699909,0.101101681,0.108370156,Protein
1300010F03Rik,17,0.596018384,0.624696592,0.594563803,0.681402258,0.452260371,0.479087048,0.530154857,0.643572091,0.49723106,0.572793794,0.640237886,0.660830392,Protein
1500002O20Rik,8,1.28872977,1.305551271,1.3166412,1.39765328,1.242650734,1.296886668,1.270620616,1.356637647,1.25857982,1.298700283,1.369115624,1.50388325,Protein
